# Amplitude1 Amplitude2 Frequency logL logPrior
1.570605751674241901e+01 1.913336563296349979e+01 7.595095185577172892e+00 5.821510789034488844e+05 0.000000000000000000e+00
1.894848377415399909e+01 1.517246301177510404e+01 6.835181780879828750e+00 5.825223862834322499e+05 0.000000000000000000e+00
1.727000457617997853e+01 1.900422166954895076e+01 6.921293253280317970e+00 5.825691982913262909e+05 0.000000000000000000e+00
1.633453446619969185e+01 1.982115412052162284e+01 8.453224691099016752e+00 5.827258725364741404e+05 0.000000000000000000e+00
1.809980836231852308e+01 1.763333424820752171e+01 8.965521224398269595e+00 5.830282952404476237e+05 0.000000000000000000e+00
1.521578058473135187e+01 1.940723665676161147e+01 6.243149334422754215e+00 5.830797454074604902e+05 0.000000000000000000e+00
1.934140899340707165e+01 1.649893216256502271e+01 6.360185118446072039e+00 5.831935541116729146e+05 0.000000000000000000e+00
1.935372096495987648e+01 1.640378166305401919e+01 5.790324608157477293e+00 5.832039408927594777e+05 0.000000000000000000e+00
1.706208505925299690e+01 1.843910772992482805e+01 5.024441252070208641e+00 5.832968479121578857e+05 0.000000000000000000e+00
1.530389455725308956e+01 1.872995540299084638e+01 6.782060115180288840e+00 5.836081529511770932e+05 0.000000000000000000e+00
1.563930542526227185e+01 1.942582845527119417e+01 6.665204589865698637e+00 5.837633169654886005e+05 0.000000000000000000e+00
1.911913627581934350e+01 1.641918932629827310e+01 8.971291046611648667e+00 5.838102453764737584e+05 0.000000000000000000e+00
1.547346645078306970e+01 1.936717071048805039e+01 9.089426781709212477e+00 5.841962794585098745e+05 0.000000000000000000e+00
1.935942754741898497e+01 1.611854720011248787e+01 9.910271002257420747e+00 5.842094131329444936e+05 0.000000000000000000e+00
1.865556774194991263e+01 1.687127075309760826e+01 9.367262651777279459e+00 5.848689852957724361e+05 0.000000000000000000e+00
1.787416903144658065e+01 1.443166129919404739e+01 7.450574071666809850e+00 5.850808854089631932e+05 0.000000000000000000e+00
1.657674315662797682e+01 1.900952179926068197e+01 8.465022011130525215e+00 5.853248339835172519e+05 0.000000000000000000e+00
1.898506700787750745e+01 1.631103897521050783e+01 9.027770868739180443e+00 5.855263431508226786e+05 0.000000000000000000e+00
1.875319719511929151e+01 1.572501653389025300e+01 6.577322360624243025e+00 5.855348915319164516e+05 0.000000000000000000e+00
1.923612289438015210e+01 1.611528200054695859e+01 8.484309761835620023e+00 5.855358455144694308e+05 0.000000000000000000e+00
1.959669754183841661e+01 1.497867454380525665e+01 9.651750948175507716e+00 5.855449312065629056e+05 0.000000000000000000e+00
1.910128809367134650e+01 1.583329478442538019e+01 9.228000426582047666e+00 5.857970354784473311e+05 0.000000000000000000e+00
1.464947210868599292e+01 1.894951729674037821e+01 6.634613763865148783e+00 5.860740747312563471e+05 0.000000000000000000e+00
1.820440102144336336e+01 1.633476534279337145e+01 9.481697690542135959e+00 5.866452035736985272e+05 0.000000000000000000e+00
1.825064586636738539e+01 1.779111072181472508e+01 7.690210868458539295e+00 5.869088216395406052e+05 0.000000000000000000e+00
1.877805757319435287e+01 1.558539461282349947e+01 8.209973027648794996e+00 5.869129682349688374e+05 0.000000000000000000e+00
1.718707364603614707e+01 8.469307304404486203e+00 7.179175159146116592e+00 5.870809893969702534e+05 0.000000000000000000e+00
1.440722710236462234e+01 1.951787171269345933e+01 9.293954955353493474e+00 5.874854413845004747e+05 0.000000000000000000e+00
1.638193566170667381e+01 1.607166491098163874e+01 6.967843423769004119e+00 5.875577079121251591e+05 0.000000000000000000e+00
1.655124053701825915e+01 1.851116053227985248e+01 6.335886636561573582e+00 5.875751726566391299e+05 0.000000000000000000e+00
1.986716362535295488e+01 1.159119034579184770e+01 6.823117508019524102e+00 5.878320957871585852e+05 0.000000000000000000e+00
1.395436883334059175e+01 1.992060943496609582e+01 9.320326213799386750e+00 5.880868348766918061e+05 0.000000000000000000e+00
1.976867672600189962e+01 1.412591125723598751e+01 9.803884571402267767e+00 5.881148315227720886e+05 0.000000000000000000e+00
1.977636888164918361e+01 1.446677710966024755e+01 5.783846371040972656e+00 5.881596912469372619e+05 0.000000000000000000e+00
1.958760784797238585e+01 1.469274843846117307e+01 5.970167855582207750e+00 5.884501856488090707e+05 0.000000000000000000e+00
1.838695840150075256e+01 1.517110542917725269e+01 8.006281928778502532e+00 5.887699892441191478e+05 0.000000000000000000e+00
1.962823043797880018e+01 1.481961865065948203e+01 8.826940086141387809e+00 5.891538848674402107e+05 0.000000000000000000e+00
